Genotype,Loc,Loc2,Row,Col,Rep,Block,Plot,yield
G20,1,Balcarce,1,1,1,1,1,3789
G25,1,Balcarce,2,1,1,6,6,2987
G30,1,Balcarce,3,1,2,1,1,2832
G29,1,Balcarce,4,1,2,6,6,2762
G2,1,Balcarce,5,1,3,1,1,2858
G31,1,Balcarce,6,1,3,6,6,3040
G6,1,Balcarce,1,2,1,1,2,2950
G28,1,Balcarce,2,2,1,6,5,3721
G26,1,Balcarce,3,2,2,1,2,3361
G17,1,Balcarce,4,2,2,6,5,3466
G33,1,Balcarce,5,2,3,1,2,4659
G13,1,Balcarce,6,2,3,6,5,3041
G18,1,Balcarce,1,3,1,1,3,2776
G29,1,Balcarce,2,3,1,6,4,3203
G36,1,Balcarce,3,3,2,1,3,2832
G8,1,Balcarce,4,3,2,6,4,3169
G5,1,Balcarce,5,3,3,1,3,3101
G36,1,Balcarce,6,3,3,6,4,3353
G19,1,Balcarce,1,4,1,1,4,3175
G26,1,Balcarce,2,4,1,6,3,3396
G11,1,Balcarce,3,4,2,1,4,3519
G2,1,Balcarce,4,4,2,6,3,2816
G28,1,Balcarce,5,4,3,1,4,3313
G25,1,Balcarce,6,4,3,6,3,3168
G7,1,Balcarce,1,5,1,1,5,3342
G24,1,Balcarce,2,5,1,6,2,3372
G23,1,Balcarce,3,5,2,1,5,3277
G21,1,Balcarce,4,5,2,6,2,4002
G23,1,Balcarce,5,5,3,1,5,3651
G21,1,Balcarce,6,5,3,6,2,3361
G17,1,Balcarce,1,6,1,1,6,3678
G35,1,Balcarce,2,6,1,6,1,3485
G18,1,Balcarce,3,6,2,1,6,3025
G9,1,Balcarce,4,6,2,6,1,2698
G19,1,Balcarce,5,6,3,1,6,3742
G7,1,Balcarce,6,6,3,6,1,2796
G3,1,Balcarce,1,7,1,2,1,3215
G34,1,Balcarce,2,7,1,5,6,3669
G27,1,Balcarce,3,7,2,2,1,2697
G4,1,Balcarce,4,7,2,5,6,3411
G35,1,Balcarce,5,7,3,2,1,3864
G18,1,Balcarce,6,7,3,5,6,3482
G2,1,Balcarce,1,8,1,2,2,2985
G32,1,Balcarce,2,8,1,5,5,2788
G13,1,Balcarce,3,8,2,2,2,3447
G22,1,Balcarce,4,8,2,5,5,2703
G4,1,Balcarce,5,8,3,2,2,2901
G3,1,Balcarce,6,8,3,5,5,3108
G15,1,Balcarce,1,9,1,2,3,2685
G33,1,Balcarce,2,9,1,5,4,3137
G34,1,Balcarce,3,9,2,2,3,3243
G24,1,Balcarce,4,9,2,5,4,3176
G27,1,Balcarce,5,9,3,2,3,3873
G24,1,Balcarce,6,9,3,5,4,3544
G36,1,Balcarce,1,10,1,2,4,3998
G30,1,Balcarce,2,10,1,5,3,3574
G3,1,Balcarce,3,10,2,2,4,3017
G31,1,Balcarce,4,10,2,5,3,2428
G17,1,Balcarce,5,10,3,2,4,3813
G12,1,Balcarce,6,10,3,5,3,3780
G1,1,Balcarce,1,11,1,2,5,3114
G31,1,Balcarce,2,11,1,5,2,2905
G28,1,Balcarce,3,11,2,2,5,4023
G19,1,Balcarce,4,11,2,5,2,3353
G30,1,Balcarce,5,11,3,2,5,4124
G9,1,Balcarce,6,11,3,5,2,2517
G16,1,Balcarce,1,12,1,2,6,3066
G9,1,Balcarce,2,12,1,5,1,3080
G6,1,Balcarce,3,12,2,2,6,2873
G15,1,Balcarce,4,12,2,5,1,3193
G16,1,Balcarce,5,12,3,2,6,3593
G10,1,Balcarce,6,12,3,5,1,2970
G10,1,Balcarce,1,13,1,3,1,3704
G11,1,Balcarce,2,13,1,4,6,3480
G5,1,Balcarce,3,13,2,3,1,3360
G33,1,Balcarce,4,13,2,4,6,3776
G34,1,Balcarce,5,13,3,3,1,3643
G32,1,Balcarce,6,13,3,4,6,3219
G23,1,Balcarce,1,14,1,3,2,3764
G5,1,Balcarce,2,14,1,4,5,3305
G32,1,Balcarce,3,14,2,3,2,2673
G35,1,Balcarce,4,14,2,4,5,3894
G20,1,Balcarce,5,14,3,3,2,3309
G29,1,Balcarce,6,14,3,4,5,3477
G21,1,Balcarce,1,15,1,3,3,4061
G8,1,Balcarce,2,15,1,4,4,3570
G16,1,Balcarce,3,15,2,3,3,2689
G12,1,Balcarce,4,15,2,4,4,3330
G15,1,Balcarce,5,15,3,3,3,2960
G6,1,Balcarce,6,15,3,4,4,3186
G27,1,Balcarce,1,16,1,3,4,3401
G4,1,Balcarce,2,16,1,4,3,2918
G20,1,Balcarce,3,16,2,3,4,3730
G14,1,Balcarce,4,16,2,4,3,2883
G8,1,Balcarce,5,16,3,3,4,3094
G11,1,Balcarce,6,16,3,4,3,4198
G14,1,Balcarce,1,17,1,3,5,3040
G13,1,Balcarce,2,17,1,4,2,2982
G25,1,Balcarce,3,17,2,3,5,3219
G1,1,Balcarce,4,17,2,4,2,2721
G26,1,Balcarce,5,17,3,3,5,3412
G1,1,Balcarce,6,17,3,4,2,3686
G22,1,Balcarce,1,18,1,3,6,3558
G12,1,Balcarce,2,18,1,4,1,3125
G10,1,Balcarce,3,18,2,3,6,3037
G7,1,Balcarce,4,18,2,4,1,2970
G14,1,Balcarce,5,18,3,3,6,2838
G22,1,Balcarce,6,18,3,4,1,2776
G5,3,CSuarez,1,1,1,1,1,1752
G36,3,CSuarez,2,1,1,4,6,3387
G33,3,CSuarez,3,1,1,5,1,3803
G31,3,CSuarez,4,1,2,2,6,2523
G9,3,CSuarez,5,1,2,3,1,2480
G29,3,CSuarez,6,1,2,6,6,2748
G13,3,CSuarez,7,1,3,1,1,3145
G20,3,CSuarez,8,1,3,4,6,3691
G33,3,CSuarez,9,1,3,5,1,3718
G8,3,CSuarez,1,2,1,1,2,1876
G15,3,CSuarez,2,2,1,4,5,2852
G30,3,CSuarez,3,2,1,5,2,3418
G7,3,CSuarez,4,2,2,2,5,2176
G3,3,CSuarez,5,2,2,3,2,4181
G6,3,CSuarez,6,2,2,6,5,3222
G34,3,CSuarez,7,2,3,1,2,3431
G25,3,CSuarez,8,2,3,4,5,3782
G7,3,CSuarez,9,2,3,5,2,3061
G13,3,CSuarez,1,3,1,1,3,2372
