TreeID,Mum,Dad,Spacing,Rep,Plot,dj,dm,wd,h1,h2,h3,h4,h5,dis,lt,str
80001,70048,NA,3,1,1,0.334,0.405,0.358,29,130,239,420,630,1,1,1
80002,70048,NA,3,1,2,0.348,0.393,0.365,24,107,242,410,600,0,1,5
80004,70048,NA,3,1,4,0.354,0.429,0.379,19,82,180,300,500,0,1,5
80005,70017,NA,3,1,1,0.335,0.408,0.363,46,168,301,510,700,0,1,5
80008,70017,NA,3,1,4,0.322,0.372,0.332,33,135,271,470,670,1,0,2
80026,70002,NA,3,1,2,0.359,0.45,0.392,30,132,258,390,570,0,0,1
80028,70002,NA,3,1,4,0.368,0.509,0.388,37,124,238,380,530,0,0,0
80033,70010,NA,3,1,1,0.358,0.381,0.369,32,126,290,460,660,1,1,0
80034,70010,NA,3,1,2,0.323,0.393,0.347,34,153,251,430,600,1,1,2
80035,70010,NA,3,1,3,0.298,0.361,0.324,28,127,243,410,630,0,0,2
80036,70010,NA,3,1,4,0.346,0.402,0.368,38,139,271,400,550,0,0,0
80037,70041,NA,3,1,1,0.321,0.462,0.372,31,112,230,380,550,0,1,5
80038,70041,NA,3,1,2,0.368,0.47,0.387,36,117,175,300,460,1,0,2
80045,70031,NA,3,1,1,0.332,0.412,0.37,35,101,202,370,520,1,1,4
80046,70031,NA,3,1,2,0.357,0.46,0.376,35,115,207,310,460,0,0,5
80048,70031,NA,3,1,4,0.338,0.389,0.362,35,119,262,430,590,1,1,1
80049,70054,NA,3,2,1,0.356,0.437,0.38,35,133,211,400,530,0,0,3
80052,70054,NA,3,2,4,0.339,0.443,0.361,31,92,205,320,510,1,0,4
80055,70043,NA,3,2,3,0.365,0.454,0.392,33,121,235,390,610,0,0,0
80056,70043,NA,3,2,4,0.372,0.467,0.402,27,119,213,380,600,1,0,5
80057,70017,NA,3,2,1,0.34,0.458,0.363,36,90,197,380,590,1,1,4
80058,70017,NA,3,2,2,0.352,0.433,0.358,35,128,285,500,700,0,0,1
80059,70017,NA,3,2,3,0.367,0.475,0.386,27,117,228,370,560,0,1,0
80061,70038,NA,3,2,1,0.325,0.376,0.345,35,151,289,490,720,0,0,2
80062,70038,NA,3,2,2,0.333,0.392,0.337,31,132,263,440,660,1,1,5
80063,70038,NA,3,2,3,0.318,0.425,0.322,32,138,288,460,640,1,0,2
80070,70004,NA,3,2,2,0.331,0.391,0.351,21,70,161,290,520,1,1,0
80073,70019,NA,3,2,1,0.399,0.467,0.415,29,110,260,430,340,1,0,3
80074,70019,NA,3,2,2,0.374,0.451,0.381,25,71,201,350,570,0,0,2
80078,70039,NA,3,2,2,0.373,0.441,0.382,21,79,151,360,520,1,0,5
80080,70039,NA,3,2,4,0.354,0.472,0.371,36,144,268,420,600,0,0,3
80084,70051,NA,3,2,4,0.396,0.514,0.43,24,93,221,370,560,0,1,0
80085,70056,NA,3,2,1,0.38,0.47,0.397,28,104,213,400,610,1,0,1
80087,70056,NA,3,2,3,0.34,0.419,0.367,33,112,249,430,650,0,0,1
80088,70056,NA,3,2,4,0.353,0.383,0.36,28,101,263,460,720,0,1,4
80093,70007,NA,3,2,1,0.33,0.414,0.341,18,106,208,380,560,1,0,5
80094,70007,NA,3,2,2,0.354,0.436,0.386,15,79,184,380,570,1,1,5
